               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046868,            0.070104,           0.0043022,             0.46846,               0.875,             0.77403,              0.2959,            0.036025,            0.036979,           0.0010475,            0.006535,            0.006535,            0.006535
                  37,            0.057891,            0.061537,            0.004313,             0.73254,              0.9375,             0.81165,              0.3291,            0.033426,            0.033337,           0.0011164,            0.006436,            0.006436,            0.006436
                  38,            0.048684,            0.064307,           0.0044656,             0.38112,             0.96875,             0.59583,             0.27813,             0.03356,            0.031975,           0.0010397,            0.006337,            0.006337,            0.006337
                  39,            0.052391,            0.058319,           0.0043881,             0.60528,             0.78409,             0.72646,             0.19609,            0.040618,            0.030278,           0.0010733,            0.006238,            0.006238,            0.006238
                  40,            0.051808,             0.07116,           0.0042597,             0.61936,               0.875,             0.82509,             0.40477,            0.029479,            0.031498,          0.00096626,            0.006139,            0.006139,            0.006139
                  41,            0.044083,            0.068442,           0.0041572,             0.89652,             0.96875,              0.9135,             0.31817,            0.033984,            0.033809,          0.00090714,             0.00604,             0.00604,             0.00604
                  42,            0.052295,            0.062479,           0.0037431,             0.58832,               0.875,             0.84637,             0.42074,            0.030494,            0.033125,           0.0008215,            0.005941,            0.005941,            0.005941
                  43,            0.049141,            0.061909,           0.0043486,             0.77901,             0.96875,             0.91915,             0.35221,            0.032037,            0.031935,          0.00081711,            0.005842,            0.005842,            0.005842
                  44,            0.045999,            0.065898,           0.0030877,             0.46322,               0.875,             0.78106,             0.37467,             0.03391,            0.033453,          0.00076618,            0.005743,            0.005743,            0.005743
                  45,            0.050842,            0.070464,           0.0031728,             0.69134,             0.88732,             0.84374,             0.37611,            0.031156,            0.031077,          0.00082951,            0.005644,            0.005644,            0.005644
                  46,            0.044363,            0.063455,           0.0026854,             0.65697,             0.92011,             0.91205,             0.42284,            0.030888,            0.031295,          0.00080605,            0.005545,            0.005545,            0.005545
                  47,            0.048093,            0.060403,           0.0027204,             0.87671,             0.96875,             0.93704,             0.38374,             0.02876,            0.030424,          0.00084267,            0.005446,            0.005446,            0.005446
                  48,             0.04287,            0.060748,           0.0027019,             0.71634,               0.875,             0.92294,             0.44466,            0.029216,            0.032423,          0.00080585,            0.005347,            0.005347,            0.005347
                  49,            0.048151,            0.056263,           0.0027414,             0.88319,             0.96875,             0.97115,             0.40994,            0.028698,            0.031598,          0.00087147,            0.005248,            0.005248,            0.005248
                  50,            0.042735,            0.057858,           0.0027438,              0.7108,             0.88017,             0.90047,             0.46359,            0.029752,             0.03249,          0.00081348,            0.005149,            0.005149,            0.005149
                  51,            0.043454,            0.060759,           0.0023996,             0.90931,             0.98544,              0.9764,             0.45421,            0.026586,            0.032529,          0.00087986,             0.00505,             0.00505,             0.00505
                  52,             0.04314,            0.060665,           0.0023567,             0.84873,             0.90047,              0.9118,             0.43051,             0.03023,            0.034477,          0.00084953,            0.004951,            0.004951,            0.004951
                  53,            0.041093,             0.05894,           0.0024167,             0.90484,             0.98924,             0.97285,             0.45449,            0.026557,            0.033469,          0.00087376,            0.004852,            0.004852,            0.004852
                  54,              0.0433,            0.063926,             0.00222,             0.69646,             0.90804,             0.90021,             0.44736,             0.02842,            0.033329,          0.00081635,            0.004753,            0.004753,            0.004753
                  55,            0.041415,            0.059377,           0.0022551,             0.94098,              0.9375,             0.98347,             0.45883,            0.026691,            0.030823,          0.00083542,            0.004654,            0.004654,            0.004654
                  56,            0.040415,            0.054686,           0.0018402,             0.68485,             0.93682,             0.89163,             0.47602,             0.02734,            0.031292,          0.00077648,            0.004555,            0.004555,            0.004555
                  57,            0.038159,             0.07372,            0.002091,             0.86698,             0.96875,             0.96408,             0.49412,             0.02306,            0.032668,          0.00080452,            0.004456,            0.004456,            0.004456
                  58,            0.038278,            0.058573,            0.001917,              0.6759,             0.90625,             0.93109,             0.45878,            0.027674,             0.03184,          0.00074844,            0.004357,            0.004357,            0.004357
